
2026-08-06 00:55:46.985 | DEBUG    | androguard.core.axml:is_valid:575 - True
2026-08-06 00:55:46.985 | DEBUG    | androguard.core.axml:_do_next:593 - M_EVENT 3
2026-08-06 00:55:46.985 | DEBUG    | androguard.core.axml:_do_next:608 - NEXT HEADER <ARSCHeader idx='0x00055528' type='258' header_size='16' size='116'>
2026-08-06 00:55:46.985 | DEBUG    | androguard.core.axml:__init__:1146 - DEBUG ARSC TYPE 2
2026-08-06 00:55:46.985 | DEBUG    | androguard.core.axml:__init__:1167 - START_TAG: service (line=6270)
2026-08-06 00:55:46.985 | DEBUG    | androguard.core.axml:getAttributeNamespace:981 - 0
2026-08-06 00:55:46.985 | DEBUG    | androguard.core.axml:getAttributeUri:968 - 0
2026-08-06 00:55:46.985 | DEBUG    | androguard.core.axml:getAttributeName:997 - 0
2026-08-06 00:55:46.985 | DEBUG    | androguard.core.axml:getAttributeValueType:1027 - 0
2026-08-06 00:55:46.985 | DEBUG    | androguard.core.axml:getAttributeValueData:1038 - 0
2026-08-06 00:55:46.986 | DEBUG    | androguard.core.axml:getAttributeValue:1052 - 0
2026-08-06 00:55:46.986 | DEBUG    | androguard.core.axml:__init__:1195 - found an attribute: {http://schemas.android.com/apk/res/android}name='b'com.google.android.gms.auth.api.signin.RevocationBoundService''
2026-08-06 00:55:46.986 | DEBUG    | androguard.core.axml:getAttributeNamespace:981 - 1
2026-08-06 00:55:46.986 | DEBUG    | androguard.core.axml:getAttributeUri:968 - 1
2026-08-06 00:55:46.986 | DEBUG    | androguard.core.axml:getAttributeName:997 - 1
2026-08-06 00:55:46.986 | DEBUG    | androguard.core.axml:getAttributeValueType:1027 - 1
2026-08-06 00:55:46.986 | DEBUG    | androguard.core.axml:getAttributeValueData:1038 - 1
2026-08-06 00:55:46.986 | DEBUG    | androguard.core.axml:getAttributeValue:1052 - 1
2026-08-06 00:55:46.986 | DEBUG    | androguard.core.axml:__init__:1195 - found an attribute: {http://schemas.android.com/apk/res/android}permission='b'com.google.android.gms.auth.api.signin.permission.REVOCATION_NOTIFICATION''
2026-08-06 00:55:46.986 | DEBUG    | androguard.core.axml:getAttributeNamespace:981 - 2
2026-08-06 00:55:46.986 | DEBUG    | androguard.core.axml:getAttributeUri:968 - 2
2026-08-06 00:55:46.986 | DEBUG    | androguard.core.axml:getAttributeName:997 - 2
2026-08-06 00:55:46.987 | DEBUG    | androguard.core.axml:getAttributeValueType:1027 - 2
2026-08-06 00:55:46.987 | DEBUG    | androguard.core.axml:getAttributeValueData:1038 - 2
2026-08-06 00:55:46.987 | DEBUG    | androguard.core.axml:__init__:1195 - found an attribute: {http://schemas.android.com/apk/res/android}exported='b'true''
2026-08-06 00:55:46.987 | DEBUG    | androguard.core.axml:getAttributeNamespace:981 - 3
